"Lever.position","Ship.speed","Gas.Turbine..GT..shaft.torque..GTT.","GT.rate.of.revolutions..GTn.","Gas.Generator.rate.of.revolutions..GGn.","Starboard.Propeller.Torque..Ts.","Hight.Pressure..HP..Turbine.exit.temperature..T48.","GT.Compressor.outlet.air.temperature..T2.","HP.Turbine.exit.pressure..P48.","GT.Compressor.outlet.air.pressure..P2.","GT.exhaust.gas.pressure..Pexh.","Turbine.Injecton.Control..TIC.","Fuel.flow..mf.","GT.Compressor.decay.state.coefficient","GT.Turbine.decay.state.coefficient"
2.09,6,6910,1380,6800,28.4,599,571,1.33,7.15,1.02,8.52,0.259,0.987,0.995
5.14,15,21600,1920,8480,175,693,633,2.09,11,1.03,24.4,0.483,0.987,0.995
6.18,18,29800,2310,8810,246,759,663,2.51,13.1,1.03,33.3,0.66,0.987,0.995
8.21,24,51000,3090,9310,438,906,727,3.59,18.3,1.04,59,1.17,0.987,0.995
9.3,27,72800,3560,9750,645,1060,773,4.52,22.5,1.05,87.6,1.73,0.987,0.995
1.14,3,1360,1380,6680,9.43,465,546,1.14,6.08,1.02,0,0.09,0.987,0.998
3.14,9,8380,1390,7090,60.3,571,576,1.39,7.43,1.02,11.7,0.232,0.987,0.998
1.14,3,2370,1410,6700,10.7,493,552,1.18,6.3,1.02,0,0.123,0.987,0.999
2.09,6,6910,1370,6800,26.8,599,570,1.33,7.11,1.02,13,0.263,0.987,0.999
3.14,9,8380,1390,7090,60.3,570,576,1.39,7.42,1.02,11.7,0.231,0.987,0.999
7.15,21,39000,2680,9130,332,806,684,2.97,15.4,1.04,42.6,0.844,0.987,0.999
3.14,9,8380,1390,7090,60.3,569,576,1.39,7.41,1.02,11.6,0.23,0.987,1
3.14,9,8370,1390,7030,60.3,589,579,1.39,7.59,1.02,12.4,0.246,0.988,0.975
6.18,18,29800,2310,8790,246,780,667,2.52,13.4,1.03,34.8,0.688,0.988,0.975
5.14,15,21600,1920,8460,175,709,636,2.09,11.2,1.03,25.4,0.502,0.988,0.977
9.3,27,72800,3560,9740,645,1070,775,4.54,23,1.05,89.4,1.77,0.988,0.977
1.14,3,3540,1390,6640,9.75,547,560,1.23,6.65,1.02,4.79,0.183,0.988,0.978
5.14,15,21600,1920,8460,175,708,636,2.09,11.2,1.03,25.3,0.501,0.988,0.978
7.15,21,39000,2680,9120,332,826,688,2.99,15.8,1.04,44.3,0.877,0.988,0.978
8.21,24,51000,3090,9300,438,924,729,3.6,18.7,1.04,60.7,1.2,0.988,0.978
3.14,9,8370,1390,7040,60.3,585,579,1.39,7.56,1.02,12.3,0.244,0.988,0.979
4.16,12,14700,1550,7710,114,640,605,1.66,9.01,1.02,17.2,0.341,0.988,0.979
5.14,15,21600,1920,8460,175,707,636,2.09,11.2,1.03,25.2,0.5,0.988,0.979
7.15,21,39000,2680,9120,332,824,687,2.99,15.7,1.04,44.1,0.874,0.988,0.98
1.14,3,4870,1380,6640,9.28,584,565,1.27,6.88,1.02,4.81,0.228,0.988,0.981
5.14,15,21600,1920,8460,175,706,635,2.09,11.2,1.03,25.1,0.497,0.988,0.981
4.16,12,14700,1550,7720,114,637,604,1.66,8.97,1.02,17.1,0.338,0.988,0.983
5.14,15,21600,1920,8470,175,704,635,2.09,11.2,1.03,25,0.495,0.988,0.983
6.18,18,29800,2310,8800,246,772,665,2.51,13.3,1.03,34.2,0.677,0.988,0.983
2.09,6,5850,1390,6780,31.3,575,569,1.31,7.06,1.02,0,0.217,0.988,0.984
3.14,9,8380,1390,7050,60.3,581,578,1.39,7.53,1.02,12.1,0.24,0.988,0.984
7.15,21,39000,2680,9120,332,820,687,2.98,15.7,1.04,43.8,0.867,0.988,0.984
4.16,12,14700,1550,7730,114,635,604,1.66,8.95,1.02,17,0.336,0.988,0.985
2.09,6,6250,1390,6780,30.9,584,570,1.32,7.11,1.02,0.24,0.231,0.988,0.986
5.14,15,21600,1920,8470,175,701,634,2.09,11.1,1.03,24.8,0.492,0.988,0.986
1.14,3,1560,1340,6620,7.01,492,549,1.15,6.17,1.02,16.6,0.13,0.988,0.987
2.09,6,6290,1390,6780,30.8,585,570,1.32,7.11,1.02,0.407,0.232,0.988,0.987
4.16,12,14700,1550,7730,114,633,604,1.66,8.93,1.02,16.9,0.335,0.988,0.987
5.14,15,21600,1920,8470,175,700,634,2.09,11.1,1.03,24.8,0.491,0.988,0.987
7.15,21,39000,2680,9120,332,817,686,2.98,15.6,1.04,43.6,0.862,0.988,0.987
1.14,3,1220,1350,6630,7.35,476,547,1.13,6.09,1.02,12.4,0.109,0.988,0.988
5.14,15,21600,1920,8470,175,699,634,2.09,11.1,1.03,24.7,0.49,0.988,0.988
2.09,6,6390,1390,6790,30.5,586,570,1.32,7.12,1.02,1.22,0.236,0.988,0.989
4.16,12,14700,1550,7730,114,632,603,1.66,8.92,1.02,16.8,0.333,0.988,0.989
8.21,24,51000,3090,9300,438,912,727,3.59,18.5,1.04,59.6,1.18,0.988,0.989
9.3,27,72800,3560,9750,645,1060,773,4.53,22.7,1.05,88.1,1.74,0.988,0.989
1.14,3,1510,1380,6660,9.22,475,548,1.15,6.16,1.02,1.64,0.101,0.988,0.99
2.09,6,6530,1390,6790,30.2,590,570,1.32,7.13,1.02,2.23,0.241,0.988,0.99
3.14,9,8380,1390,7060,60.3,577,577,1.39,7.48,1.02,11.9,0.236,0.988,0.99
5.14,15,21600,1920,8470,175,697,634,2.09,11.1,1.03,24.6,0.487,0.988,0.99
1.14,3,1800,1390,6660,9.84,482,550,1.16,6.22,1.02,0.788,0.109,0.988,0.991
3.14,9,8380,1390,7070,60.3,576,577,1.39,7.48,1.02,11.9,0.236,0.988,0.991
5.14,15,21600,1920,8470,175,696,633,2.09,11.1,1.03,24.6,0.486,0.988,0.991
7.15,21,39000,2680,9120,332,813,685,2.98,15.5,1.04,43.2,0.856,0.988,0.991
4.16,12,14700,1550,7740,114,628,603,1.66,8.88,1.02,16.7,0.33,0.988,0.993
6.18,18,29800,2310,8810,246,761,663,2.51,13.2,1.03,33.5,0.663,0.988,0.993
3.14,9,8380,1390,7070,60.3,574,577,1.39,7.45,1.02,11.8,0.234,0.988,0.994
4.16,12,14700,1550,7740,114,627,603,1.66,8.87,1.02,16.6,0.329,0.988,0.994
7.15,21,39000,2680,9120,332,810,685,2.98,15.5,1.04,43,0.851,0.988,0.994
3.14,9,8380,1390,7080,60.3,573,576,1.39,7.45,1.02,11.8,0.233,0.988,0.995
8.21,24,51000,3090,9300,438,906,726,3.59,18.4,1.04,59,1.17,0.988,0.995
3.14,9,8380,1390,7080,60.3,572,576,1.39,7.44,1.02,11.7,0.232,0.988,0.996
5.14,15,21600,1920,8480,175,691,632,2.09,11,1.03,24.3,0.481,0.988,0.996
8.21,24,51000,3090,9310,438,905,726,3.59,18.3,1.04,58.9,1.17,0.988,0.996
9.3,27,72800,3560,9750,645,1050,772,4.52,22.5,1.05,87.4,1.73,0.988,0.996
2.09,6,6940,1370,6800,27.4,600,570,1.33,7.13,1.02,11.3,0.262,0.988,0.997
4.16,12,14700,1550,7750,114,625,602,1.66,8.85,1.02,16.5,0.326,0.988,0.997
2.09,6,6930,1370,6800,26.9,599,570,1.33,7.12,1.02,12.5,0.263,0.988,0.998
3.14,9,8380,1390,7080,60.3,570,576,1.39,7.43,1.02,11.7,0.231,0.988,0.998
4.16,12,14700,1550,7750,114,624,602,1.66,8.84,1.02,16.4,0.326,0.988,0.998
2.09,6,6880,1370,6800,26.4,598,570,1.33,7.11,1.02,13.8,0.262,0.988,0.999
4.16,12,14700,1550,7750,114,623,602,1.66,8.83,1.02,16.4,0.325,0.988,0.999
9.3,27,72800,3560,9750,645,1050,772,4.52,22.4,1.05,87.1,1.72,0.988,0.999
1.14,3,2820,1410,6700,11,506,554,1.2,6.39,1.02,0,0.138,0.988,1
2.09,6,6800,1360,6800,25.9,596,569,1.32,7.08,1.02,15.2,0.261,0.988,1
4.16,12,14700,1550,7760,114,622,602,1.66,8.82,1.02,16.4,0.324,0.988,1
6.18,18,29800,2310,8810,246,753,662,2.51,13.1,1.03,33,0.653,0.988,1
7.15,21,39000,2680,9130,332,804,684,2.97,15.4,1.04,42.5,0.842,0.988,1
2.09,6,4240,1390,6760,31,536,563,1.26,6.81,1.02,0,0.167,0.989,0.976
4.16,12,14700,1550,7710,114,643,605,1.67,9.04,1.02,17.4,0.344,0.989,0.976
6.18,18,29800,2310,8790,246,779,667,2.52,13.4,1.03,34.7,0.686,0.989,0.976
2.09,6,4540,1390,6760,31.4,543,564,1.27,6.87,1.02,0,0.176,0.989,0.977
3.14,9,8370,1390,7030,60.3,587,579,1.39,7.58,1.02,12.4,0.245,0.989,0.977
4.16,12,14700,1550,7710,114,642,605,1.67,9.03,1.02,17.3,0.343,0.989,0.977
7.15,21,39000,2680,9110,332,827,688,2.99,15.8,1.04,44.3,0.878,0.989,0.977
2.09,6,4690,1390,6760,31.5,546,565,1.27,6.89,1.02,0,0.18,0.989,0.978
6.18,18,29800,2310,8790,246,777,666,2.52,13.4,1.03,34.5,0.684,0.989,0.978
7.15,21,39000,2680,9110,332,825,687,2.99,15.8,1.04,44.3,0.876,0.989,0.978
1.14,3,3710,1390,6640,9.72,551,560,1.23,6.68,1.02,4.79,0.188,0.989,0.979
7.15,21,39000,2680,9120,332,824,687,2.99,15.7,1.04,44.2,0.875,0.989,0.979
8.21,24,51000,3090,9300,438,922,729,3.6,18.7,1.04,60.5,1.2,0.989,0.979
4.16,12,14700,1550,7710,114,639,605,1.66,9,1.02,17.2,0.34,0.989,0.98
6.18,18,29800,2310,8790,246,774,666,2.51,13.4,1.03,34.4,0.681,0.989,0.98
6.18,18,29800,2310,8790,246,772,665,2.51,13.3,1.03,34.2,0.678,0.989,0.982
5.14,15,21600,1920,8460,175,703,635,2.09,11.2,1.03,25,0.495,0.989,0.983
1.14,3,5080,1350,6620,7.62,596,565,1.27,6.87,1.02,17.7,0.253,0.989,0.984
8.21,24,51000,3090,9300,438,917,728,3.6,18.6,1.04,60,1.19,0.989,0.984
1.14,3,4420,1340,6620,7.05,580,562,1.24,6.74,1.02,21.8,0.237,0.989,0.985
3.14,9,8380,1390,7050,60.3,580,578,1.39,7.52,1.02,12.1,0.239,0.989,0.985
4.16,12,14700,1550,7720,114,635,604,1.66,8.95,1.02,17,0.336,0.989,0.985
6.18,18,29800,2310,8800,246,767,664,2.51,13.3,1.03,33.9,0.671,0.989,0.987
7.15,21,39000,2680,9120,332,816,686,2.98,15.6,1.04,43.5,0.862,0.989,0.987
9.3,27,72800,3560,9740,645,1060,773,4.53,22.7,1.05,88.1,1.75,0.989,0.988
7.15,21,39000,2680,9120,332,814,685,2.98,15.6,1.04,43.4,0.858,0.989,0.989
1.14,3,1280,1370,6640,8.48,469,547,1.14,6.1,1.02,2.54,0.095,0.989,0.99
6.18,18,29800,2310,8800,246,763,664,2.51,13.2,1.03,33.7,0.666,0.989,0.99
7.15,21,39000,2680,9120,332,813,685,2.98,15.6,1.04,43.3,0.857,0.989,0.99
3.14,9,8380,1390,7060,60.3,575,577,1.39,7.48,1.02,11.9,0.235,0.989,0.991
4.16,12,14700,1550,7740,114,630,603,1.66,8.9,1.02,16.7,0.331,0.989,0.991
5.14,15,21600,1920,8470,175,695,633,2.09,11.1,1.03,24.5,0.486,0.989,0.991
5.14,15,21600,1920,8470,175,695,633,2.09,11.1,1.03,24.5,0.485,0.989,0.992
4.16,12,14700,1550,7740,114,628,602,1.66,8.88,1.02,16.6,0.329,0.989,0.993
7.15,21,39000,2680,9120,332,810,685,2.98,15.5,1.04,43,0.852,0.989,0.993
8.21,24,51000,3090,9300,438,907,726,3.59,18.4,1.04,59.2,1.17,0.989,0.993
1.14,3,4900,1400,6680,10.6,570,563,1.27,6.82,1.02,0.05,0.213,0.989,0.994
4.16,12,14700,1550,7740,114,626,602,1.66,8.86,1.02,16.6,0.328,0.989,0.995
5.14,15,21600,1920,8480,175,692,632,2.09,11,1.03,24.3,0.482,0.989,0.995
9.3,27,72800,3560,9750,645,1050,772,4.52,22.5,1.05,87.4,1.73,0.989,0.995
4.16,12,14700,1550,7750,114,625,602,1.66,8.85,1.02,16.5,0.326,0.989,0.997
2.09,6,6920,1370,6800,26.8,599,570,1.33,7.12,1.02,12.7,0.263,0.989,0.998
3.14,9,8380,1390,7080,60.3,570,576,1.39,7.43,1.02,11.7,0.231,0.989,0.998
5.14,15,21600,1920,8480,175,689,632,2.08,11,1.03,24.2,0.478,0.989,0.998
2.09,6,6830,1370,6800,26.1,597,569,1.33,7.1,1.02,14.5,0.262,0.989,0.999
2.09,6,6670,1360,6790,25.2,593,568,1.32,7.06,1.02,16.8,0.259,0.989,1
3.14,9,8380,1390,7090,60.3,569,576,1.39,7.41,1.02,11.6,0.23,0.989,1
1.14,3,2560,1370,6610,8.49,522,555,1.19,6.46,1.02,8.05,0.156,0.99,0.975
4.16,12,14700,1550,7700,114,643,605,1.67,9.05,1.02,17.4,0.344,0.99,0.975
9.3,27,72800,3560,9730,645,1070,775,4.55,23.1,1.05,89.4,1.77,0.99,0.975
4.16,12,14700,1550,7700,114,642,605,1.67,9.04,1.02,17.3,0.343,0.99,0.976
6.18,18,29800,2310,8790,246,778,666,2.52,13.4,1.03,34.6,0.686,0.99,0.976
7.15,21,39000,2680,9110,332,827,687,2.99,15.8,1.04,44.4,0.879,0.99,0.976
3.14,9,8370,1390,7030,60.3,586,579,1.39,7.58,1.02,12.3,0.244,0.99,0.977
8.21,24,51000,3090,9300,438,923,729,3.6,18.7,1.04,60.7,1.2,0.99,0.977
9.3,27,72800,3560,9730,645,1070,775,4.55,23,1.05,89.2,1.77,0.99,0.977
2.09,6,4810,1390,6760,31.6,550,565,1.27,6.91,1.02,0,0.184,0.99,0.978
3.14,9,8370,1390,7030,60.3,585,578,1.39,7.56,1.02,12.3,0.243,0.99,0.979
4.16,12,14700,1550,7710,114,640,605,1.67,9.01,1.02,17.2,0.341,0.99,0.979
6.18,18,29800,2310,8790,246,775,666,2.52,13.4,1.03,34.4,0.682,0.99,0.979
7.15,21,39000,2680,9120,332,824,687,2.99,15.7,1.04,44.1,0.874,0.99,0.979
8.21,24,51000,3090,9300,438,921,729,3.6,18.7,1.04,60.5,1.2,0.99,0.979
7.15,21,39000,2680,9120,332,823,687,2.99,15.7,1.04,44.1,0.872,0.99,0.98
3.14,9,8370,1390,7040,60.3,583,578,1.39,7.55,1.02,12.2,0.242,0.99,0.981
9.3,27,72800,3560,9740,645,1070,774,4.54,22.9,1.05,88.8,1.76,0.99,0.981
1.14,3,4730,1380,6640,9.33,578,564,1.26,6.85,1.02,4.82,0.221,0.99,0.982
5.14,15,21600,1920,8460,175,704,634,2.09,11.2,1.03,25,0.495,0.99,0.982
4.16,12,14700,1550,7720,114,636,604,1.66,8.97,1.02,17,0.337,0.99,0.983
8.21,24,51000,3090,9300,438,917,728,3.6,18.6,1.04,60.1,1.19,0.99,0.983
6.18,18,29800,2310,8790,246,769,665,2.51,13.3,1.03,34.1,0.674,0.99,0.984
7.15,21,39000,2680,9120,332,819,686,2.99,15.7,1.04,43.7,0.866,0.99,0.984
9.3,27,72800,3560,9740,645,1060,773,4.54,22.8,1.05,88.5,1.75,0.99,0.984
4.16,12,14700,1550,7720,114,634,604,1.66,8.95,1.02,17,0.336,0.99,0.985
8.21,24,51000,3090,9300,438,915,728,3.6,18.6,1.04,59.9,1.19,0.99,0.985
9.3,27,72800,3560,9740,645,1060,773,4.54,22.8,1.05,88.4,1.75,0.99,0.985
1.14,3,3820,1340,6620,6.83,563,559,1.22,6.62,1.02,22.7,0.218,0.99,0.986
9.3,27,72800,3560,9740,645,1060,773,4.53,22.8,1.05,88.3,1.75,0.99,0.986
6.18,18,29800,2310,8800,246,766,664,2.51,13.3,1.03,33.8,0.67,0.99,0.987
3.14,9,8380,1390,7050,60.3,577,577,1.39,7.5,1.02,12,0.237,0.99,0.988
1.14,3,1330,1350,6630,7.27,480,547,1.14,6.11,1.02,13.1,0.114,0.99,0.989
8.21,24,51000,3090,9300,438,911,727,3.6,18.5,1.04,59.5,1.18,0.99,0.989
1.14,3,1190,1360,6640,8.01,468,546,1.13,6.08,1.02,4.88,0.095,0.99,0.99
9.3,27,72800,3560,9750,645,1060,773,4.53,22.7,1.05,87.9,1.74,0.99,0.99
2.09,6,6830,1380,6780,29.1,598,570,1.33,7.17,1.02,6.01,0.255,0.99,0.991
4.16,12,14700,1550,7730,114,629,603,1.66,8.9,1.02,16.7,0.331,0.99,0.991
6.18,18,29800,2310,8800,246,762,663,2.51,13.2,1.03,33.6,0.664,0.99,0.991
7.15,21,39000,2680,9120,332,811,685,2.98,15.5,1.04,43.1,0.853,0.99,0.992
3.14,9,8380,1390,7070,60.3,572,576,1.39,7.45,1.02,11.7,0.232,0.99,0.995
4.16,12,14700,1550,7740,114,626,602,1.66,8.87,1.02,16.5,0.327,0.99,0.995
3.14,9,8380,1390,7080,60.3,571,576,1.39,7.44,1.02,11.7,0.232,0.99,0.996
5.14,15,21600,1920,8480,175,689,632,2.09,11,1.03,24.2,0.479,0.99,0.997
8.21,24,51000,3090,9300,438,901,725,3.59,18.3,1.04,58.6,1.16,0.99,0.998
7.15,21,39000,2680,9130,332,804,684,2.98,15.4,1.04,42.5,0.842,0.99,0.999
6.18,18,29800,2310,8810,246,752,661,2.51,13.1,1.03,32.9,0.652,0.99,1
2.09,6,4890,1390,6750,31.6,554,566,1.28,6.95,1.02,0,0.188,0.991,0.975
6.18,18,29800,2310,8780,246,779,666,2.52,13.4,1.03,34.7,0.687,0.991,0.975
7.15,21,39000,2680,9110,333,827,687,2.99,15.8,1.04,44.4,0.88,0.991,0.975
8.21,24,51000,3090,9290,438,925,729,3.61,18.8,1.04,60.8,1.2,0.991,0.975
6.18,18,29800,2310,8790,246,778,666,2.52,13.4,1.03,34.6,0.685,0.991,0.976
7.15,21,39000,2680,9110,332,826,687,2.99,15.8,1.04,44.3,0.878,0.991,0.976
1.14,3,3810,1360,6610,7.87,563,560,1.23,6.69,1.02,15.7,0.211,0.991,0.977
7.15,21,39000,2680,9110,332,825,687,2.99,15.8,1.04,44.3,0.876,0.991,0.977
1.14,3,3800,1350,6610,7.76,563,560,1.23,6.68,1.02,16.6,0.211,0.991,0.978
2.09,6,5050,1400,6760,31.7,556,566,1.28,6.95,1.02,0,0.192,0.991,0.978
7.15,21,39000,2680,9110,332,824,687,2.99,15.8,1.04,44.2,0.875,0.991,0.978
4.16,12,14700,1550,7710,114,639,604,1.67,9.01,1.02,17.2,0.34,0.991,0.979
8.21,24,51000,3090,9300,438,921,728,3.6,18.7,1.04,60.5,1.2,0.991,0.979
9.3,27,72800,3560,9730,645,1070,774,4.54,23,1.05,88.9,1.76,0.991,0.979
2.09,6,5710,1390,6760,31.5,573,568,1.3,7.06,1.02,0,0.214,0.991,0.98
4.16,12,14700,1550,7710,114,638,604,1.67,9,1.02,17.1,0.339,0.991,0.98
6.18,18,29800,2310,8790,246,773,665,2.52,13.4,1.03,34.3,0.68,0.991,0.98
7.15,21,39000,2680,9120,332,822,686,2.99,15.7,1.04,44,0.872,0.991,0.98
8.21,24,51000,3090,9300,438,920,728,3.6,18.7,1.04,60.4,1.2,0.991,0.98
8.21,24,51000,3090,9300,438,918,728,3.6,18.6,1.04,60.3,1.19,0.991,0.981
9.3,27,72800,3560,9740,645,1060,774,4.54,22.9,1.05,88.7,1.76,0.991,0.981
1.14,3,4340,1390,6640,9.54,566,562,1.25,6.78,1.02,4.68,0.207,0.991,0.982
2.09,6,6000,1390,6770,31.2,579,569,1.31,7.09,1.02,0,0.223,0.991,0.982
4.16,12,14700,1550,7710,114,636,604,1.66,8.98,1.02,17.1,0.338,0.991,0.982
6.18,18,29800,2310,8790,246,771,665,2.51,13.3,1.03,34.2,0.677,0.991,0.982
3.14,9,8380,1390,7040,60.3,581,578,1.39,7.53,1.02,12.1,0.24,0.991,0.983
3.14,9,8380,1390,7040,60.3,580,577,1.39,7.53,1.02,12.1,0.239,0.991,0.984
6.18,18,29800,2310,8790,246,769,664,2.51,13.3,1.03,34,0.674,0.991,0.984
2.09,6,6520,1390,6770,30.3,592,570,1.33,7.17,1.02,1.96,0.243,0.991,0.985
5.14,15,21600,1920,8460,175,700,634,2.09,11.1,1.03,24.8,0.492,0.991,0.985
6.18,18,29800,2310,8790,246,768,664,2.51,13.3,1.03,34,0.672,0.991,0.985
7.15,21,39000,2680,9120,332,817,686,2.99,15.6,1.04,43.6,0.863,0.991,0.985
9.3,27,72800,3560,9740,645,1060,773,4.54,22.8,1.05,88.3,1.75,0.991,0.985
2.09,6,6600,1390,6770,30.1,594,570,1.33,7.17,1.02,2.73,0.246,0.991,0.986
4.16,12,14700,1550,7720,114,633,603,1.66,8.95,1.02,16.9,0.334,0.991,0.986
1.14,3,3420,1340,6620,6.74,551,557,1.21,6.54,1.02,22.9,0.204,0.991,0.987
9.3,27,72800,3560,9740,645,1060,773,4.54,22.8,1.05,88.1,1.74,0.991,0.987
2.09,6,6790,1380,6770,29.4,599,571,1.33,7.19,1.02,5.08,0.254,0.991,0.988
3.14,9,8380,1390,7050,60.3,577,577,1.39,7.5,1.02,12,0.237,0.991,0.988
5.14,15,21600,1920,8470,175,697,633,2.09,11.1,1.03,24.7,0.488,0.991,0.988
6.18,18,29800,2310,8800,246,765,664,2.51,13.3,1.03,33.7,0.668,0.991,0.988
8.21,24,51000,3090,9300,438,911,727,3.6,18.5,1.04,59.6,1.18,0.991,0.988
1.14,3,1220,1360,6630,7.74,470,546,1.13,6.08,1.02,8.38,0.1,0.991,0.99
3.14,9,8380,1390,7060,60.3,575,577,1.39,7.48,1.02,11.9,0.235,0.991,0.99
1.14,3,1270,1370,6640,8.31,468,546,1.14,6.09,1.02,2.84,0.095,0.991,0.991
2.09,6,6970,1370,6780,27.8,603,571,1.33,7.18,1.02,10.2,0.265,0.991,0.991
3.14,9,8380,1390,7060,60.3,575,576,1.39,7.48,1.02,11.9,0.235,0.991,0.991
8.21,24,51000,3090,9300,438,908,726,3.59,18.4,1.04,59.3,1.17,0.991,0.991
3.14,9,8380,1390,7060,60.3,574,576,1.39,7.47,1.02,11.8,0.234,0.991,0.992
7.15,21,39000,2680,9120,332,810,684,2.98,15.5,1.04,43,0.852,0.991,0.992
8.21,24,51000,3090,9300,438,907,726,3.59,18.4,1.04,59.2,1.17,0.991,0.992
7.15,21,39000,2680,9120,332,809,684,2.98,15.5,1.04,43,0.851,0.991,0.993
1.14,3,2680,1410,6680,10.7,505,553,1.2,6.39,1.02,0,0.135,0.991,0.994
3.14,9,8380,1390,7070,60.3,572,576,1.39,7.46,1.02,11.8,0.233,0.991,0.994
9.3,27,72800,3560,9750,645,1050,772,4.53,22.6,1.05,87.4,1.73,0.991,0.994
2.09,6,6940,1370,6780,26.9,601,570,1.33,7.15,1.02,12.5,0.264,0.991,0.995
3.14,9,8380,1390,7070,60.3,572,576,1.39,7.45,1.02,11.7,0.232,0.991,0.995
5.14,15,21600,1920,8470,175,691,632,2.09,11,1.03,24.3,0.481,0.991,0.995
9.3,27,72800,3560,9750,645,1050,771,4.53,22.5,1.05,87.3,1.73,0.991,0.995
6.18,18,29800,2310,8810,246,756,662,2.51,13.1,1.03,33.2,0.657,0.991,0.996
1.14,3,5210,1320,6630,6.04,596,563,1.26,6.8,1.02,28.5,0.265,0.991,0.997
4.16,12,14700,1550,7740,114,624,601,1.66,8.85,1.02,16.4,0.325,0.991,0.997
5.14,15,21600,1920,8480,175,689,632,2.09,11,1.03,24.2,0.479,0.991,0.997
7.15,21,39000,2680,9120,332,805,684,2.98,15.4,1.04,42.7,0.844,0.991,0.997
8.21,24,51000,3090,9300,438,902,725,3.59,18.3,1.04,58.7,1.16,0.991,0.997
2.09,6,6720,1360,6790,25.4,595,568,1.32,7.08,1.02,16.4,0.261,0.991,0.998
5.14,15,21600,1920,8480,175,688,631,2.09,11,1.03,24.1,0.477,0.991,0.998
7.15,21,39000,2680,9120,332,804,683,2.98,15.4,1.04,42.6,0.843,0.991,0.998
1.14,3,831,1360,6660,8.22,448,542,1.12,5.94,1.02,0,0.072,0.991,0.999
8.21,24,51000,3090,9300,438,900,725,3.59,18.3,1.04,58.5,1.16,0.991,0.999
2.09,6,6510,1360,6790,24.6,589,567,1.31,7.03,1.02,18.1,0.255,0.991,1
3.14,9,8380,1390,7080,60.3,568,575,1.39,7.41,1.02,11.6,0.229,0.991,1
7.15,21,39000,2680,9130,332,802,683,2.98,15.4,1.04,42.4,0.84,0.991,1
6.18,18,29800,2310,8780,246,778,666,2.52,13.4,1.03,34.7,0.686,0.992,0.975
7.15,21,39000,2680,9110,333,827,687,2.99,15.8,1.04,44.4,0.879,0.992,0.975
3.14,9,8370,1390,7020,60.3,586,578,1.39,7.59,1.02,12.3,0.244,0.992,0.976
1.14,3,3700,1360,6600,7.9,560,560,1.22,6.67,1.02,15.3,0.206,0.992,0.977
7.15,21,39000,2680,9110,333,825,687,2.99,15.8,1.04,44.2,0.876,0.992,0.977
8.21,24,51000,3090,9290,438,922,728,3.61,18.7,1.04,60.6,1.2,0.992,0.977
4.16,12,14700,1550,7700,114,640,604,1.67,9.02,1.02,17.2,0.341,0.992,0.978
3.14,9,8370,1390,7030,60.3,584,578,1.39,7.56,1.02,12.2,0.242,0.992,0.979
4.16,12,14700,1550,7710,114,639,604,1.67,9.01,1.02,17.2,0.34,0.992,0.979
6.18,18,29800,2310,8790,246,774,665,2.52,13.4,1.03,34.4,0.681,0.992,0.979
6.18,18,29800,2310,8790,246,773,665,2.52,13.4,1.03,34.3,0.679,0.992,0.98
7.15,21,39000,2680,9110,332,821,686,2.99,15.7,1.04,44,0.871,0.992,0.98
8.21,24,51000,3090,9300,438,919,728,3.6,18.7,1.04,60.3,1.19,0.992,0.98
4.16,12,14700,1550,7710,114,637,604,1.67,8.99,1.02,17.1,0.338,0.992,0.981
5.14,15,21600,1920,8460,175,703,634,2.09,11.2,1.03,25,0.496,0.992,0.981
2.09,6,6180,1390,6760,31,584,569,1.32,7.14,1.02,0,0.23,0.992,0.982
6.18,18,29800,2310,8790,246,771,665,2.52,13.3,1.03,34.2,0.676,0.992,0.982
9.3,27,72800,3560,9740,645,1060,773,4.54,22.9,1.05,88.5,1.75,0.992,0.982
1.14,3,4510,1380,6640,9.42,570,562,1.26,6.8,1.02,4.77,0.212,0.992,0.983
6.18,18,29800,2310,8790,246,768,664,2.51,13.3,1.03,34,0.673,0.992,0.984
9.3,27,72800,3560,9740,645,1060,773,4.54,22.8,1.05,88.3,1.75,0.992,0.984
1.14,3,5250,1360,6630,8.22,595,565,1.27,6.9,1.02,12.4,0.25,0.992,0.985
3.14,9,8380,1390,7040,60.3,579,577,1.39,7.52,1.02,12,0.238,0.992,0.985
7.15,21,39000,2680,9120,332,816,685,2.99,15.6,1.04,43.6,0.863,0.992,0.985
1.14,3,5050,1350,6620,7.64,592,564,1.27,6.86,1.02,17.3,0.25,0.992,0.986
1.14,3,4030,1340,6620,6.93,567,559,1.23,6.66,1.02,21.9,0.223,0.992,0.987
2.09,6,6820,1380,6770,29.2,600,571,1.33,7.2,1.02,5.78,0.257,0.992,0.987
6.18,18,29800,2310,8800,246,765,664,2.51,13.3,1.03,33.8,0.669,0.992,0.987
8.21,24,51000,3090,9300,438,911,727,3.6,18.5,1.04,59.6,1.18,0.992,0.987
6.18,18,29800,2310,8800,246,764,663,2.51,13.3,1.03,33.7,0.668,0.992,0.988
7.15,21,39000,2680,9120,332,813,685,2.98,15.6,1.04,43.3,0.858,0.992,0.988
8.21,24,51000,3090,9300,438,910,726,3.6,18.5,1.04,59.5,1.18,0.992,0.988
2.09,6,6930,1380,6770,28.3,603,571,1.33,7.2,1.02,8.38,0.262,0.992,0.989
